Rk,Nation,# Players,Min,List
36,cg Congo,3,3075,Christopher Samba Steven Mouyokolo Amine Linganzi
37,pl Poland,3,3060,Łukasz Fabiański Wojciech Szczęsny Tomasz Kuszczak
38,nz New Zealand,3,2829,Ryan Nelsen Winston Reid Chris Wood
39,ch Switzerland,3,2575,Johan Djourou Valon Behrami Philippe Senderos
40,za South Africa,3,2146,Steven Pienaar Benni McCarthy Kagisho Dikgacoi
41,sk Slovakia,2,4636,Martin Škrtel Marek Čech
42,ba Bosnia and Herzegovina,2,3374,Asmir Begović Edin Džeko
43,kr Korea Republic,2,3265,Lee Chung-yong Park Ji-sung
44,ma Morocco,2,3138,Marouane Chamakh Manuel da Costa
45,fi Finland,2,3123,Jussi Jääskeläinen Shefki Kuqi
46,cl Chile,2,3001,Gonzalo Jara Jean Beausejour
47,at Austria,2,2745,Paul Scharner Andreas Weimann
48,is Iceland,2,2468,Grétar Steinsson Eiður Guðjohnsen
49,hu Hungary,2,1441,Zoltán Gera Ádám Bogdán
50,by Belarus,2,1268,Alexander Hleb Sergei Kornilenko
51,gr Greece,2,1118,Sotirios Kyrgiakos Apostolos Vellios
52,dz Algeria,2,384,Adlène Guedioura Rafik Halliche
53,om Oman,1,3060,Ali Al-Habsi
54,co Colombia,1,3025,Hugo Rodallega
55,tt Trinidad and Tobago,1,2782,Kenwyne Jones
56,eg Egypt,1,2455,Ahmed Elmohamady
57,ro Romania,1,2041,Gabriel Tamaș
58,bb Barbados,1,1669,Emmerson Boyce
59,ca Canada,1,1494,Junior Hoilett
60,gd Grenada,1,1490,Jason Roberts
61,bj Benin,1,1183,Stéphane Sessègnon
62,sc Seychelles,1,1116,Michael Mancienne
63,uy Uruguay,1,1100,Luis Suárez
64,gi Gibraltar,1,843,Danny Higginbotham
65,ec Ecuador,1,742,Antonio Valencia
66,tr Türkiye,1,718,Tuncay Şanlı
67,zw Zimbabwe,1,662,Benjani Mwaruwari
68,gp Guadeloupe,1,427,Ludovic Sylvestre
69,tg Togo,1,244,Emmanuel Adebayor
70,gy Guyana,1,195,Matthew Briggs
71,cv Cape Verde,1,75,Bebé
72,ml Mali,1,40,Mamady Sidibé
