Rk,Nation,# Players,Min,List
1,eng England,193,262807,Leighton Baines Darren Bent Stewart Downing Ashley Young Kevin Davies Wayne Rooney Joey Barton Matt Jarvis DJ Campbell Jordan Henderson ...
2,fr France,30,48863,Florent Malouda Charles N'Zogbia Sylvain Distin Samir Nasri Bacary Sagna Nicolas Anelka Patrice Evra Gaël Clichy Frédéric Piquionne Laurent Koscielny ...
3,ie Republic of Ireland,30,40473,Stephen Carr Rory Delap Kevin Foley Jonathan Walters Kevin Doyle Richard Dunne Séamus Coleman Stephen Ward Damien Duff James McCarthy ...
4,sct Scotland,21,32436,Charlie Adam Phil Bardsley Barry Ferguson James Morrison Christophe Berra Darren Fletcher Stephen Crainey Steven Fletcher Gary Caldwell Alan Hutton ...
5,es Spain,17,23174,Fernando Torres David Silva Pepe Reina José Enrique Míchel Salgado Cesc Fàbregas Mikel Arteta Carlos Cuéllar Jordi Gómez Pablo Ibáñez ...
6,wls Wales,16,24801,David Vaughan Gareth Bale James Collins Simon Davies Neal Eardley Ryan Giggs Danny Gabbidon Wayne Hennessey Danny Collins Sam Ricketts ...
7,nl Netherlands,12,19260,Dirk Kuyt Rafael van der Vaart Robin van Persie Edwin van der Sar Nigel de Jong John Heitinga Tim Krul Ronnie Stam Boudewijn Zenden Ryan Babel ...
8,br Brazil,12,15114,Lucas Leiva Heurelho Gomes Ramires Anderson Alex Rafael Sandro David Luiz Fábio Denílson ...
9,us United States,10,16230,Clint Dempsey Brad Friedel Tim Howard Stuart Holden Jermaine Jones Marcus Hahnemann Jonathan Spector Eric Lichaj Eddie Johnson Michael Bradley
10,ci Côte d'Ivoire,9,15404,Didier Drogba Yaya Touré Salomon Kalou Steve Gohouri Cheick Tioté Kolo Touré Abdoulaye Méïté Emmanuel Eboué Abdul Razak
11,ar Argentina,9,14057,Carlos Tevez Jonás Gutiérrez Fabricio Coloccini Maxi Rodríguez Pablo Zabaleta Franco Di Santo Mauro Boselli Javier Mascherano Marcos Angeleri
12,ng Nigeria,9,12681,Peter Odemwingie Shola Ameobi Dickson Etuhu John Obi Mikel Victor Obinna Victor Moses Yakubu Aiyegbeni Victor Anichebe Obafemi Martins
13,be Belgium,9,10141,Vincent Kompany Mousa Dembélé Simon Mignolet Marouane Fellaini Thomas Vermaelen Jelle Van Damme Dedryck Boyata Geoffrey Mujangi Bia Ruud Boffin
14,sn Senegal,8,8818,Mohamed Diamé Mame Biram Diouf El Hadji Diouf Demba Ba Abdoulaye Faye Diomansy Kamara Salif Diao Habib Beye
15,nir Northern Ireland,7,12519,Chris Brunt Aaron Hughes Chris Baird Craig Cathcart Jonny Evans Shane Ferguson Ryan McGivern
16,rs Serbia,6,11155,Nemanja Vidić Branislav Ivanović Nenad Milijaš Nikola Žigić Aleksandar Kolarov Milan Jovanović
17,gh Ghana,6,9567,Asamoah Gyan Michael Essien Richard Kingson John Paintsil John Mensah Sulley Muntari
18,cm Cameroon,6,9496,Alex Song Benoît Assou-Ekotto George Elokobi Somen Tchoyi Sébastien Bassong Jean Makoun
19,au Australia,6,7915,Tim Cahill Brett Emerton Mark Schwarzer David Carney Vince Grella Chris Herd
20,dk Denmark,6,6690,Peter Løvenkrands Lars Jacobsen Daniel Agger Thomas Sørensen Nicklas Bendtner Christian Poulsen
21,pt Portugal,5,8982,Nani Raul Meireles Luís Boa Morte José Bosingwa Paulo Ferreira
22,cz Czech Republic,5,5904,Petr Čech Tomáš Rosický Martin Jiránek Radoslav Kováč Roman Bednář
23,hr Croatia,5,5732,Luka Modrić Nikola Kalinić Vedran Ćorluka Ivan Klasnić Niko Kranjčar
24,mx Mexico,5,4569,Javier Hernández Carlos Salcido Carlos Vela Pablo Barrera Giovani dos Santos
25,jm Jamaica,5,3167,Jermaine Beckford Ricardo Fuller Ricardo Gardner Giles Barnes Jason Euell
26,se Sweden,4,10421,Johan Elmander Seb Larsson Martin Olsson Jonas Olsson
27,no Norway,4,7036,Brede Hangeland Morten Gamst Pedersen John Carew Bjørn Helge Riise
28,de Germany,4,5428,Robert Huth Thomas Hitzlsperger Jérôme Boateng Jens Lehmann
29,ru Russia,4,5316,Andrey Arshavin Roman Pavlyuchenko Diniyar Bilyaletdinov Yuri Zhirkov
30,py Paraguay,4,4187,Antolín Alcaraz Cristian Riveros Roque Santa Cruz Paulo da Silva
31,cd Congo DR,4,4126,Youssouf Mulumbu Hérita Ilunga Gaël Kakuta Kazenga LuaLua
32,it Italy,4,2050,Mario Balotelli Carlo Cudicini Federico Macheda Alessandro Diamanti
33,il Israel,4,1646,Tal Ben Haim Tamir Cohen Dekel Keinan Yossi Benayoun
34,hn Honduras,3,5915,Maynor Figueroa Hendry Thomas Wilson Palacios
35,bg Bulgaria,3,5736,Dimitar Berbatov Stiliyan Petrov Martin Petrov
