Rk,Nation,# Players,Min,List
1,eng England,207,283137,James Beattie Michael Owen Alan Shearer Danny Murphy Teddy Sheringham Paul Scholes Frank Lampard Jermain Defoe Andy Cole Trevor Sinclair ...
2,fr France,36,69426,Thierry Henry Nicolas Anelka Youri Djorkaeff Steed Malbranque William Gallas Sylvain Wiltord Mikaël Silvestre Fabrice Fernandes Sylvain Legwinski Robert Pirès ...
3,ie Republic of Ireland,36,55791,Robbie Keane Damien Duff Shay Given Dean Kiely Jeff Kenna Steve Finnan Kevin Kilbane Kenny Cunningham Stephen Carr Ian Harte ...
4,sct Scotland,19,21607,Derek McInnes David Weir Paul Telfer Gary Naysmith Paul Devlin Christian Dailly Dominic Matteo Scott Dobie Steven Caldwell Scot Gemmill ...
5,wls Wales,16,26248,Ryan Giggs Simon Davies Robbie Savage Jason Koumas Craig Bellamy Andy Johnson Gary Speed Andy Melville Mark Pembridge Paul Jones ...
6,no Norway,13,20421,Ole Gunnar Solskjær John Arne Riise Eirik Bakke Claus Lundekvam Tore André Flo Ronny Johnsen Øyvind Leonhardsen Henning Berg Jo Tessem Steffen Iversen ...
7,se Sweden,13,17518,Olof Mellberg Michael Svensson Anders Svensson Freddie Ljungberg Nils-Eric Johansson Joachim Björklund Marcus Allbäck Teddy Lučić Mathias Svensson Niclas Alexandersson ...
8,dk Denmark,11,21178,Claus Jensen Thomas Gravesen Henrik Pedersen Per Frandsen Niclas Jensen Peter Schmeichel Jesper Grønkjær Thomas Sørensen Bjarne Goldbæk Stig Tøfting ...
9,nl Netherlands,11,17079,Ruud van Nistelrooy Jimmy Floyd Hasselbaink Mario Melchiot Dennis Bergkamp George Boateng Edwin van der Sar Boudewijn Zenden Giovanni van Bronckhorst Stefan Postma Gerard Wiekens ...
10,au Australia,10,17263,Mark Viduka Harry Kewell Mark Schwarzer Lucas Neill Stan Lazaridis Paul Okon Tony Vidmar Danny Tiatto Luke Wilkshire Jacob Burns
11,nir Northern Ireland,9,15179,Aaron Hughes Damien Johnson Steve Lomas Kevin Horlock Maik Taylor George McCartney Keith Gillespie Roy Carroll Chris Baird
12,jm Jamaica,9,11851,Jason Euell Ricardo Gardner Kevin Lisbie Darren Moore Barry Hayles Michael Johnson Darryl Powell Jermaine Johnson Jamal Campbell-Ryce
13,cm Cameroon,6,11673,Geremi Marc-Vivien Foé Joseph-Désiré Job Lauren Pierre Womé Lucien Mettomo
14,it Italy,6,10637,Gianfranco Zola Massimo Maccarone Carlo Cudicini Paolo Di Canio Alessandro Pistone Corrado Grabbi
15,ng Nigeria,6,8034,Jay-Jay Okocha Joseph Yobo Nwankwo Kanu Shola Ameobi Celestine Babayaro Ifeanyi Udeze
