Rk,Nation,# Players,Min,List
16,de Germany,6,6932,Dietmar Hamann Thomas Hitzlsperger Christian Ziege Steffen Freund Robert Huth Markus Babbel
17,ar Argentina,6,5750,Juan Sebastián Verón Mauricio Taricco Facundo Sava Julio Arca Carlos Marinelli Martín Herrera
18,br Brazil,6,5283,Gilberto Silva Edu Gaspar Juninho Paulista Doriva Emerson Thome Rodrigo Beckham
19,es Spain,6,4951,Iván Campo Enrique de Lucas Raúl Bravo Albert Ferrer Salva Ballesta Ricardo
20,fi Finland,5,12783,Sami Hyypiä Jussi Jääskeläinen Peter Enckelman Antti Niemi Jonatan Johansson
21,us United States,5,8760,Kasey Keller Brad Friedel Brian McBride Claudio Reyna Jovan Kirovski
22,pt Portugal,5,3648,Luís Boa Morte Hugo Viana Abel Xavier Jordão Filipe Oliveira
23,is Iceland,4,7743,Eiður Guðjohnsen Guðni Bergsson Lárus Sigurðsson Joey Guðjónsson
24,tt Trinidad and Tobago,4,7161,Dwight Yorke Jlloyd Samuel Stern John Justin Hoyte
25,za South Africa,4,6082,Shaun Bartlett Mark Fish Lucas Radebe Quinton Fortune
26,cz Czech Republic,4,5274,Tomáš Řepka Milan Baroš Vladimír Šmicer Patrik Berger
27,sn Senegal,4,5052,El Hadji Diouf Aliou Cissé Salif Diao Ferdinand Coly
28,sk Slovakia,4,4703,Igor Bališ Szilárd Németh Vratislav Greško Vladimír Labant
29,tr Türkiye,4,3890,Tugay Kerimoğlu Hakan Şükür Alpay Özalan Bülent Akın
30,ma Morocco,4,2396,Abdeslam Ouaddou Talal El Karkouri Mustapha Hadji Tahar El Khalej
31,cn China PR,3,2405,Sun Jihai Li Tie Li Weifeng
32,hr Croatia,3,2403,Mario Stanić Alen Bokšić Igor Bišćan
33,lv Latvia,3,694,Marians Pahars Igors Stepanovs Andrejs Štolcers
34,ml Mali,2,3804,Djimi Traoré Frédéric Kanouté
35,gd Grenada,2,2903,Jason Roberts Delroy Facey
36,pl Poland,2,2738,Jerzy Dudek Piotr Świerczewski
37,uy Uruguay,2,2697,Gus Poyet Diego Forlán
38,be Belgium,2,2433,Nico Vaesen Jonathan Blondel
39,dz Algeria,2,2389,Ali Benarbia Djamel Belmadi
40,ci Côte d'Ivoire,2,1870,Kolo Touré Olivier Tébily
41,ec Ecuador,2,1434,Ulises de la Cruz Agustín Delgado
42,gr Greece,2,1159,Nikos Dabizas Stathis Tavlaridis
43,jp Japan,2,992,Junichi Inamoto Kazuyuki Toda
44,gy Guyana,2,49,Neil Danns Carl Cort
45,rs Serbia,1,2747,Goran Bunjevčević
46,ca Canada,1,2309,Tomasz Radzinski
47,pe Peru,1,2275,Nolberto Solano
48,bg Bulgaria,1,2206,Radostin Kishishev
49,il Israel,1,2162,Eyal Berkovic
50,ch Switzerland,1,1615,Stéphane Henchoz
51,bm Bermuda,1,1315,Shaun Goater
52,gp Guadeloupe,1,1260,David Sommeil
53,at Austria,1,1143,Jürgen Macho
54,ua Ukraine,1,1064,Oleh Luzhny
55,co Colombia,1,737,Juan Pablo Ángel
56,si Slovenia,1,494,Milenko Ačimovič
57,cd Congo DR,1,489,Lomana LuaLua
58,gh Ghana,1,404,Elvis Hammond
59,gi Gibraltar,1,379,Danny Higginbotham
60,ee Estonia,1,360,Mart Poom
61,cl Chile,1,150,Clarence Acuña
62,gn Guinea,1,62,Titi Camara
63,kn St. Kitts and Nevis,1,52,Calum Willock
64,xc Commonwealth of Independent States,1,34,Andrei Kanchelskis
