Rk,Nation,# Players,Min,List
1,eng England,363,619773,Brian Deane Matt Le Tissier Teddy Sheringham Les Ferdinand David White Mike Newell Paul Wilkinson Jason Dozzell Peter Beardsley John Williams ...
2,sct Scotland,39,65060,Brian McClair Tommy Wright John Hendrie Kevin Gallacher John Wark Colin Hendry Bryan Gunn Gary McAllister Scot Gemmill Paul Bernard ...
3,ie Republic of Ireland,32,64306,Niall Quinn Steve Staunton Eddie McGoldrick Andy Townsend Paul McGrath Denis Irwin Roy Keane Ray Houghton Mike Milligan Terry Phelan ...
4,wls Wales,29,61435,Mark Hughes David Phillips Dean Saunders Ryan Giggs Gary Speed Ian Rush Mark Bowen Eric Young Geraint Williams Neville Southall ...
5,nir Northern Ireland,11,20822,Iain Dowie Alan McDonald Nigel Worthington Mal Donaghy Lawrie Sanchez Kingsley Black Danny Wilson Steve Morrow Paul Williams Keith Rowland ...
6,no Norway,8,9568,Gunnar Halle Erik Thorstvedt Erland Johnsen Stig Inge Bjørnebye Frank Strandli Pål Lydersen Henning Berg Kåre Ingebrigtsen
7,jm Jamaica,4,9586,Robbie Earle Frank Sinclair Fitzroy Simpson Danny Maddix
8,nl Netherlands,4,9045,Hans Segers Ken Monkou Michel Vonk Orpheo Keizerweerd
9,dk Denmark,4,8700,Peter Schmeichel John Jensen Jan Mølby Torben Piechnik
10,au Australia,4,2144,Mark Bosnich Jason Kearton Vlado Bozinovski Andy Petterson
11,us United States,3,4615,John Harkes Roy Wegerle Preki
12,se Sweden,3,4180,Roland Nilsson Anders Limpar Patrik Andersson
13,zw Zimbabwe,2,2740,Peter Ndlovu Bruce Grobbelaar
14,xc Commonwealth of Independent States,2,1715,Andrei Kanchelskis Dmitri Kharine
15,is Iceland,2,1462,Þorvaldur Örlygsson Guðni Bergsson
16,ca Canada,2,1437,Craig Forrest Frank Yallop
17,de Germany,2,296,Matthias Breitkreutz Stefan Beinlich
18,fr France,1,3014,Eric Cantona
19,ms Montserrat,1,2884,Ruel Fox
20,tt Trinidad and Tobago,1,1918,Dwight Yorke
21,bg Bulgaria,1,1542,Boncho Genchev
22,es Spain,1,1475,Nayim
23,pl Poland,1,1464,Robert Warzycha
24,il Israel,1,1400,Ronny Rosenthal
25,cz Czech Republic,1,1288,Jan Stejskal
26,kn St. Kitts and Nevis,1,412,Bobby Bowry
27,ng Nigeria,1,111,Efan Ekoku
28,hu Hungary,1,9,István Kozma
