Rk,Nation,# Players,Min,List
1,eng England,264,384564,Dion Dublin Michael Owen Chris Sutton David Beckham Steve McManaman Andy Cole Emile Heskey Neil Redfearn Steve Guppy Teddy Sheringham ...
2,ie Republic of Ireland,33,42320,Gary Kelly Jeff Kenna Stephen Carr Lee Carsley Kenny Cunningham Keith Branagan Gary Breen Steve Staunton Denis Irwin Damien Duff ...
3,sct Scotland,32,42796,Kevin Gallacher Matt Elliott Duncan Ferguson Paul Telfer Neil Sullivan Colin Hendry Christian Dailly Dominic Matteo Steve Clarke David Robertson ...
4,no Norway,22,34419,Alf-Inge Håland Egil Østenstad Øyvind Leonhardsen Tore André Flo Gunnar Halle Claus Lundekvam Trond Egil Soltvedt Stig Inge Bjørnebye Henning Berg Ole Gunnar Solskjær ...
5,wls Wales,21,35554,John Hartson Nathan Blake Ryan Giggs Gary Speed Paul Jones Darren Barnard Mark Hughes Mark Pembridge Robbie Savage Ben Thatcher ...
6,fr France,17,22518,David Ginola Frank Leboeuf Emmanuel Petit Patrick Vieira Nicolas Anelka Gilles Grimandi Mickaël Madar Samassi Abou Patrick Valéry Valérien Ismaël ...
7,nl Netherlands,15,19952,Dennis Bergkamp Jimmy Floyd Hasselbaink Marc Overmars Ken Monkou Ed de Goey Arjan de Zeeuw Robert Molenaar George Boateng Robin van der Laan Raimond van der Gouw ...
8,it Italy,14,21891,Paolo Di Canio Francesco Baiano Benito Carbone Roberto Di Matteo Gianfranco Zola Attilio Lombardo Alessandro Pistone Gianluca Vialli Stefano Eranio Nicola Berti ...
9,nir Northern Ireland,13,19057,Neil Lennon Steve Lomas Michael Hughes Ian Nolan Keith Gillespie Jim Magilton Gerry Taggart Iain Dowie Alan Fettis Keith Rowland ...
10,dk Denmark,9,13485,Per Frandsen Allan Nielsen Peter Schmeichel Jacob Laursen Jon Dahl Tomasson Michael Johansen Marc Rieper Claus Thomsen Martin Johansen
11,se Sweden,9,10627,Pontus Kåmark Roland Nilsson Martin Dahlin Magnus Hedman Tomas Brolin Peter Markstedt Niclas Alexandersson Andreas Andersson Anders Andersson
12,jm Jamaica,8,9441,Robbie Earle Marcus Gayle Frank Sinclair Deon Burton Jason Euell Darryl Powell Darren Byfield Damien Francis
13,au Australia,8,9388,Stan Lazaridis Harry Kewell Mark Bosnich Kevin Muscat John Filan Robbie Slater Carl Veart Adem Poric
14,pt Portugal,5,5572,Bruno Ribeiro Fernando Nélson José Dominguez Luís Boa Morte Paulo Alves
15,rs Serbia,4,5157,Savo Milošević Dejan Stefanović Jovo Bosančić Saša Ćurčić
16,cz Czech Republic,4,2406,Luděk Mikloško Patrik Berger Karel Poborský Pavel Srníček
17,za South Africa,3,5982,Lucas Radebe Mark Fish Eric Tinkler
18,is Iceland,3,5821,Guðni Bergsson Hermann Hreiðarsson Arnar Gunnlaugsson
19,ch Switzerland,3,5160,Stéphane Henchoz Ramon Vega Gaetano Giallanza
20,tt Trinidad and Tobago,3,4718,Dwight Yorke Shaka Hislop Clint Marcelle
21,hr Croatia,3,4133,Igor Štimac Slaven Bilić Aljoša Asanović
22,de Germany,3,3632,Jürgen Klinsmann Karl-Heinz Riedle Lars Leese
23,at Austria,3,1640,Martin Hiden Alex Manninger Christian Mayrleb
24,us United States,2,3870,Kasey Keller Brad Friedel
25,il Israel,2,3041,Eyal Berkovic Itzik Zohar
26,cr Costa Rica,2,2946,Paulo Wanchope Mauricio Solís
27,ro Romania,2,2885,Dan Petrescu Viorel Moldovan
28,gr Greece,2,1958,Theodoros Zagorakis Nikos Dabizas
29,ng Nigeria,2,1683,Efan Ekoku Celestine Babayaro
30,mk North Macedonia,2,1388,Gjorgji Hristov Goce Sedloski
31,ee Estonia,1,3240,Mart Poom
32,tr Türkiye,1,3119,Muzzy Izzet
33,ms Montserrat,1,2706,Ruel Fox
34,be Belgium,1,1819,Philippe Albert
35,ge Georgia,1,1649,Temur Ketsbaia
36,gy Guyana,1,1484,Carl Cort
37,ca Canada,1,1170,Craig Forrest
38,uy Uruguay,1,1091,Gus Poyet
39,xc Commonwealth of Independent States,1,900,Dmitri Kharine
40,si Slovenia,1,895,Aleš Križan
41,co Colombia,1,703,Faustino Asprilla
42,lr Liberia,1,702,Christopher Wreh
43,br Brazil,1,540,Emerson Thome
44,dz Algeria,1,317,Moussa Saïb
45,bm Bermuda,1,200,Kyle Lightbourne
46,kn St. Kitts and Nevis,1,121,Sagi Burton
47,es Spain,1,93,Alberto Méndez
48,gi Gibraltar,1,31,Danny Higginbotham
49,gh Ghana,1,14,Junior Agogo
