Rk,Nation,# Players,Min,List
1,eng England,190,292109,Wayne Rooney Frank Lampard Gabby Agbonlahor Gareth Barry David Bentley Darren Bent Steve Sidwell Stewart Downing Andrew Johnson Steven Gerrard ...
2,ie Republic of Ireland,26,40740,Lee Carsley Kevin Doyle Richard Dunne Steve Finnan Stephen Hunt Kevin Kilbane Paddy Kenny Robbie Keane Matt Holland Derek Geary ...
3,fr France,24,36215,Nicolas Anelka Sylvain Distin Pascal Chimbonda Franck Queudrue Thierry Henry Louis Saha Gaël Clichy Claude Makélélé William Gallas Steed Malbranque ...
4,sct Scotland,21,19056,Lee McCulloch Nick Montgomery Graeme Murty James Morrison Darren Fletcher Phil Bardsley Malky Mackay Gary Naysmith James McFadden Richard Hughes ...
5,nl Netherlands,16,23893,Dirk Kuyt George Boateng Edwin van der Sar Denny Landzaat Robin van Persie Wilfred Bouma Arjen Robben Arjan de Zeeuw André Ooijer Jimmy Floyd Hasselbaink ...
6,us United States,13,23289,Brian McBride Brad Friedel Marcus Hahnemann Tim Howard Jay DeMerit Carlos Bocanegra Jonathan Spector DaMarcus Beasley Claudio Reyna Bobby Convey ...
7,ng Nigeria,12,18554,Yakubu Aiyegbeni Obafemi Martins Nwankwo Kanu Joseph Yobo Danny Shittu John Obi Mikel Shola Ameobi Celestine Babayaro Victor Anichebe Julius Aghahowa ...
8,es Spain,12,17328,Mikel Arteta Cesc Fàbregas Iván Campo Pepe Reina Xabi Alonso Luis García Álvaro Arbeloa Gaizka Mendieta Kepa Blanco Albert Luque ...
9,pt Portugal,12,16984,Cristiano Ronaldo Ricardo Carvalho Pedro Mendes Luís Boa Morte Paulo Ferreira Manuel Fernandes Abel Xavier Henrique Hilário Nuno Valente Ricardo Rocha ...
10,jm Jamaica,12,11231,Damien Francis Lloyd Doyley Marlon King Adrian Mariappa Claude Davis Ricardo Gardner Jason Euell Lee Williamson Tyrone Mears Luton Shelton ...
11,wls Wales,11,18320,Gary Speed Ryan Giggs Simon Davies Craig Bellamy Ben Thatcher Robbie Savage Danny Gabbidon James Collins John Oster David Cotterill ...
12,au Australia,11,17155,Mark Viduka Mark Schwarzer Brett Emerton Lucas Neill Josip Skoko Tim Cahill Craig Moore John Filan Brad Jones Harry Kewell ...
