Rk,Nation,# Players,Min,List
13,sn Senegal,7,14196,El Hadji Diouf Abdoulaye Faye Henri Camara Amdy Faye Ibrahima Sonko Papa Bouba Diop Souleymane Diawara
14,br Brazil,7,7433,Gilberto Silva Fábio Rochemback Júlio Baptista Fábio Aurélio Douglas Rinaldi Denílson Anderson Silva
15,cm Cameroon,7,5468,Benoît Assou-Ekotto Geremi Alex Song Lauren André Bikey Roudolphe Douala Eric Djemba-Djemba
16,it Italy,7,3385,Bernardo Corradi Carlo Cudicini Vincenzo Montella Giuseppe Rossi Massimo Maccarone Gabriel Paletta Daniele Padelli
17,ci Côte d'Ivoire,6,15524,Didier Drogba Kolo Touré Abdoulaye Méïté Salomon Kalou Emmanuel Eboué Didier Zokora
18,dk Denmark,6,9439,Daniel Agger Thomas Sørensen Dennis Rommedahl Claus Jensen Henrik Pedersen Martin Laursen
19,de Germany,6,9267,Jens Lehmann Michael Ballack Moritz Volz Dietmar Hamann Robert Huth Sergio Peter
20,no Norway,6,7691,Morten Gamst Pedersen John Arne Riise Ole Gunnar Solskjær John Carew Thomas Myhre Kristofer Hæstad
21,se Sweden,6,6672,Olof Mellberg Freddie Ljungberg Andreas Isaksson Henrik Larsson Andreas Johansson Björn Runström
22,cz Czech Republic,6,5650,Tomáš Rosický Petr Čech Milan Baroš Patrik Berger Jan Laštůvka Pavel Srníček
23,fi Finland,5,9815,Jussi Jääskeläinen Antti Niemi Sami Hyypiä Teemu Tainio Shefki Kuqi
24,nir Northern Ireland,5,7866,Keith Gillespie Steven Davis George McCartney Aaron Hughes Roy Carroll
25,ar Argentina,5,5758,Carlos Tevez Julio Arca Gabriel Heinze Javier Mascherano Emiliano Insúa
26,ch Switzerland,5,3301,Johan Djourou Stéphane Henchoz Philippe Senderos Bruno Berner Reto Ziegler
27,is Iceland,4,8630,Ívar Ingimarsson Hermann Hreiðarsson Heiðar Helguson Brynjar Gunnarsson
28,bg Bulgaria,4,6329,Dimitar Berbatov Stiliyan Petrov Radostin Kishishev Svetoslav Todorov
29,il Israel,4,5534,Yossi Benayoun Tal Ben Haim Idan Tal Ben Sahar
30,za South Africa,4,5470,Benni McCarthy Aaron Mokoena Quinton Fortune Matty Pattison
31,kr Korea Republic,4,4644,Seol Ki-hyeon Lee Young-pyo Park Ji-sung Lee Dong-gook
32,tr Türkiye,3,5540,Tugay Kerimoğlu Emre Belözoğlu Colin Kazim-Richards
33,rs Serbia,3,3865,Nemanja Vidić Dejan Stefanović Ognjen Koroman
34,gh Ghana,3,3603,Michael Essien John Paintsil Lloyd Sam
35,ma Morocco,3,3311,Talal El Karkouri Nabil El Zhar Adel Taarabt
36,cd Congo DR,3,2715,Shabani Nonda Lomana LuaLua Arnold Mvuemba
37,ca Canada,3,2658,Tomasz Radzinski David Edgar Paul Stalteri
38,eg Egypt,3,2247,Hossam Ghaly Mido Ahmed Fathy
39,cn China PR,3,1911,Zheng Zhi Sun Jihai Dong Fangzhuo
40,at Austria,2,5051,Emanuel Pogatetz Paul Scharner
41,bb Barbados,2,3188,Emmerson Boyce Paul Ifill
42,ml Mali,2,2840,Djimi Traoré Mohamed Sissoko
43,gr Greece,2,2631,Georgios Samaras Stelios Giannakopoulos
44,dz Algeria,2,2571,Hameur Bouazza Madjid Bougherra
45,ec Ecuador,2,2130,Antonio Valencia Ulises de la Cruz
46,tt Trinidad and Tobago,2,1710,Justin Hoyte Jlloyd Samuel
47,ag Antigua and Barbuda,2,1432,Mikele Leigertwood Moses Ashikodi
48,hu Hungary,2,1202,Tamás Priskin Gábor Király
49,sl Sierra Leone,2,1104,Al Bangura Albert Jarrett
50,pl Poland,2,720,Tomasz Kuszczak Jerzy Dudek
51,gp Guadeloupe,2,374,David Sommeil Cédric Avinel
52,uy Uruguay,2,120,Gonzalo Sorondo Omar Pouso
53,by Belarus,1,2362,Alexander Hleb
54,pe Peru,1,2109,Nolberto Solano
55,zw Zimbabwe,1,2041,Benjani Mwaruwari
56,tg Togo,1,1985,Emmanuel Adebayor
57,ua Ukraine,1,1807,Andriy Shevchenko
58,ge Georgia,1,1567,Zurab Khizanishvili
59,co Colombia,1,1494,Juan Pablo Ángel
60,tn Tunisia,1,1366,Hatem Trabelsi
61,hr Croatia,1,1282,Niko Kranjčar
62,cl Chile,1,1216,Mark González
63,cg Congo,1,1137,Christopher Samba
64,nz New Zealand,1,1080,Ryan Nelsen
65,gd Grenada,1,1026,Jason Roberts
66,be Belgium,1,826,Émile Mpenza
67,ir IR Iran,1,819,Andranik Teymourian
68,ru Russia,1,533,Alexey Smertin
69,sk Slovakia,1,339,Ľubomír Michalík
70,ee Estonia,1,90,Mart Poom
71,gy Guyana,1,13,Matthew Briggs
