Rk,Nation,# Players,Min,List
16,ng Nigeria,7,11203,Yakubu Aiyegbeni Jay-Jay Okocha Nwankwo Kanu Shola Ameobi Joseph Yobo Celestine Babayaro Blessing Kaku
17,jm Jamaica,7,10066,Damien Francis Ricardo Gardner Ricardo Fuller Jason Euell Kevin Lisbie Darren Moore Anthony Grant
18,cz Czech Republic,6,8492,Patrik Berger Petr Čech Milan Baroš Jiří Jarošík Vladimír Šmicer Radek Černý
19,cm Cameroon,6,6934,Lauren Timothée Atouba Joseph-Désiré Job Eric Djemba-Djemba Geremi Valéry Mézague
20,tt Trinidad and Tobago,6,5747,Jlloyd Samuel Shaka Hislop Dwight Yorke Justin Hoyte Stern John Kenwyne Jones
21,de Germany,5,9445,Moritz Volz Dietmar Hamann Jens Lehmann Thomas Hitzlsperger Robert Huth
22,za South Africa,5,4948,Shaun Bartlett Aaron Mokoena Quinton Fortune Mark Fish Mbulelo Mabizela
23,br Brazil,5,3969,Doriva Gilberto Silva Edu Gaspar José Kléberson Júlio César
24,no Norway,4,7780,John Arne Riise Claus Lundekvam Morten Gamst Pedersen Ronny Johnsen
25,ci Côte d'Ivoire,4,5546,Kolo Touré Didier Drogba Olivier Tébily Emmanuel Eboué
26,gr Greece,4,4294,Stelios Giannakopoulos Giannis Skopelitis Vasilis Lakis Kostas Chalkias
27,it Italy,4,3541,Alessandro Pistone Lorenzo Amoruso Carlo Cudicini Nicola Ventola
28,hu Hungary,3,5987,Zoltán Gera Gábor Király Sándor Torghelle
29,ma Morocco,3,5908,Talal El Karkouri Noureddine Naybet Youssef Safri
30,rs Serbia,3,3805,Dejan Stefanović Mateja Kežman Goran Bunjevčević
31,ar Argentina,3,3739,Gabriel Heinze Mauricio Pellegrino Julián Speroni
32,ch Switzerland,3,2937,Reto Ziegler Philippe Senderos Bernt Haas
33,uy Uruguay,3,2414,Walter Pandiani Gonzalo Sorondo Diego Forlán
34,gh Ghana,3,122,Quincy Owusu-Abeyie Elvis Hammond Lloyd Sam
35,is Iceland,2,5466,Eiður Guðjohnsen Hermann Hreiðarsson
36,ml Mali,2,3759,Frédéric Kanouté Djimi Traoré
37,ec Ecuador,2,2919,Ulises de la Cruz Iván Kaviedes
38,ca Canada,2,2811,Tomasz Radzinski Jim Brennan
39,tn Tunisia,2,2443,Radhi Jaïdi Mehdi Nafti
40,pl Poland,2,2408,Jerzy Dudek Tomasz Kuszczak
41,ag Antigua and Barbuda,2,2244,Mikele Leigertwood Dexter Blackstock
42,il Israel,2,2196,Tal Ben Haim Eyal Berkovic
43,tr Türkiye,2,2080,Tugay Kerimoğlu Muzzy Izzet
44,sk Slovakia,2,1840,Szilárd Németh Vratislav Greško
45,ro Romania,2,348,Cosmin Contra Adrian Mutu
46,pe Peru,1,2788,Nolberto Solano
47,co Colombia,1,2718,Juan Pablo Ángel
48,bb Barbados,1,2342,Emmerson Boyce
49,bg Bulgaria,1,2190,Radostin Kishishev
50,gi Gibraltar,1,1807,Danny Higginbotham
51,cd Congo DR,1,1733,Lomana LuaLua
52,pk Pakistan,1,1466,Zesh Rehman
53,nz New Zealand,1,1350,Ryan Nelsen
54,ru Russia,1,782,Alexey Smertin
55,hr Croatia,1,728,Igor Bišćan
56,be Belgium,1,391,Jelle Van Damme
57,eg Egypt,1,381,Mido
58,cn China PR,1,333,Sun Jihai
59,mk North Macedonia,1,178,Artim Šakiri
60,tg Togo,1,129,Yoann Folly
61,jp Japan,1,119,Junichi Inamoto
62,si Slovenia,1,118,Aleksandar Rodić
63,gp Guadeloupe,1,90,David Sommeil
