Rk,Nation,# Players,Min,List
1,eng England,197,282556,Frank Lampard Andrew Johnson Darren Huckerby Shaun Wright-Phillips Stewart Downing Danny Murphy Emile Heskey Wayne Routledge Andy Cole Robbie Fowler ...
2,fr France,34,51966,Thierry Henry Robert Pirès Patrick Vieira Franck Queudrue Claude Makélélé Sylvain Distin Bruno N'Gotty Antoine Sibierski Mikaël Silvestre Olivier Bernard ...
3,ie Republic of Ireland,28,49354,Robbie Keane Kevin Kilbane Lee Carsley Rory Delap Damien Duff Richard Dunne Dean Kiely Shay Given Kenny Cunningham Matt Holland ...
4,sct Scotland,20,24910,Paul Dickov David Weir Nigel Quashie Paul Telfer Dominic Matteo Barry Ferguson Gary Holt Duncan Ferguson Darren Fletcher Richard Hughes ...
5,nl Netherlands,16,30413,Jimmy Floyd Hasselbaink Dennis Bergkamp Boudewijn Zenden Arjan de Zeeuw Mario Melchiot Edwin van der Sar Arjen Robben George Boateng Paul Bosvelt Ruud van Nistelrooy ...
6,wls Wales,13,22390,Gary Speed Ryan Giggs Robert Earnshaw Mark Pembridge Craig Bellamy Robbie Savage Mark Delaney Andy Johnson Simon Davies Ben Thatcher ...
7,es Spain,13,16762,José Antonio Reyes Luis García Cesc Fàbregas Xabi Alonso Iván Campo Fernando Hierro Fernando Morientes Josemi Mikel Arteta Antonio Núñez ...
8,dk Denmark,11,16437,Thomas Sørensen Thomas Gravesen Thomas Gaardsøe Henrik Pedersen Martin Albrechtsen Dennis Rommedahl Thomas Helveg Jesper Grønkjær Martin Laursen Claus Jensen ...
9,se Sweden,10,16337,Freddie Ljungberg Olof Mellberg Erik Edman Anders Svensson Andreas Jakobsson Nils-Eric Johansson Mattias Jonson Mathias Svensson Mikael Nilsson Michael Svensson
10,au Australia,9,17849,Tim Cahill Brett Emerton Lucas Neill Mark Schwarzer Tony Popovic Harry Kewell Mark Viduka Stan Lazaridis Brad Jones
11,nir Northern Ireland,9,16679,Maik Taylor Michael Hughes Damien Johnson Roy Carroll Steven Davis Aaron Hughes Philip Mulryne Paul McVeigh Alan Blayney
12,pt Portugal,9,13729,Luís Boa Morte Cristiano Ronaldo Paulo Ferreira Tiago Mendes Ricardo Carvalho Pedro Mendes Ricardo Vaz Tê Filipe Oliveira Nuno Morais
13,sn Senegal,8,11036,El Hadji Diouf Papa Bouba Diop Amdy Faye Diomansy Kamara Henri Camara Aliou Cissé Salif Diao Khalilou Fadiga
14,us United States,8,10446,Brad Friedel Carlos Bocanegra Brian McBride Claudio Reyna Tim Howard Kasey Keller Jonathan Spector Jemal Johnson
15,fi Finland,7,14194,Jussi Jääskeläinen Sami Hyypiä Aki Riihilahti Antti Niemi Joonas Kolkka Jonatan Johansson Mikael Forssell
