Rk,Nation,# Players,Min,List
1,eng England,219,310640,Alan Shearer Kevin Phillips Matt Jansen Robbie Fowler Teddy Sheringham Trevor Sinclair Michael Owen Danny Murphy David Beckham Paul Scholes ...
2,fr France,39,61284,Thierry Henry Laurent Robert Robert Pirès Steed Malbranque Sylvain Wiltord Sébastien Schemmel Louis Saha Patrick Vieira Mikaël Silvestre Sylvain Legwinski ...
3,ie Republic of Ireland,31,46856,Matt Holland Ian Harte Damien Duff Dean Kiely Steve Finnan Shay Given Roy Keane Niall Quinn Steve Staunton Andy O'Brien ...
4,sct Scotland,24,38646,David Weir Christian Dailly Scot Gemmill Matt Elliott Callum Davidson John Collins Dominic Matteo Paul Telfer Neil Sullivan Robbie Stockdale ...
5,wls Wales,16,26986,Craig Bellamy Ryan Giggs Robbie Savage Paul Jones Andy Melville Gary Speed Simon Davies Mark Delaney John Robinson Mark Crossley ...
6,nl Netherlands,14,23285,Jimmy Floyd Hasselbaink Ruud van Nistelrooy Dennis Bergkamp George Boateng Mario Melchiot Edwin van der Sar Martijn Reuser Boudewijn Zenden Giovanni van Bronckhorst Fabian Wilnis ...
7,no Norway,13,18543,Ole Gunnar Solskjær John Arne Riise Henning Berg Claus Lundekvam Eirik Bakke Stig Inge Bjørnebye Steffen Iversen Jo Tessem Ronny Johnsen Øyvind Leonhardsen ...
8,dk Denmark,12,15587,Thomas Sørensen Per Frandsen Peter Schmeichel Thomas Gravesen Claus Jensen Jesper Grønkjær Bo Hansen Jacob Laursen Bjarne Goldbæk Henrik Pedersen ...
9,it Italy,11,18521,Fabrizio Ravanelli Paolo Di Canio Benito Carbone Carlo Cudicini Gianfranco Zola Alessandro Pistone Samuele Dalla Bona Matteo Sereni Corrado Grabbi Gianluca Festa ...
10,se Sweden,10,15456,Anders Svensson Freddie Ljungberg Olof Mellberg Niclas Alexandersson Stefan Schwarz Nils-Eric Johansson Joachim Björklund Jesper Blomqvist Mathias Svensson Tobias Linderoth
11,au Australia,10,11253,Mark Viduka Harry Kewell Lucas Neill Mark Schwarzer Luke Wilkshire Mark Bosnich Hayden Foxe Paul Okon Richard Garcia Scott McDonald
12,nir Northern Ireland,10,9609,Aaron Hughes Keith Gillespie Jim Magilton Steve Lomas Roy Carroll Damien Johnson George McCartney Maik Taylor Grant McCann Gerry Taggart
13,jm Jamaica,9,15668,Jason Euell Barry Hayles Frank Sinclair Ricardo Gardner Darryl Powell Kevin Lisbie Deon Burton Trevor Benjamin Jermaine Johnson
14,ar Argentina,8,11506,Juan Sebastián Verón Mauricio Taricco Luciano Zavagno Julio Arca Sixto Peralta Carlos Marinelli Horacio Carbonari Christian Bassedas
15,de Germany,8,9168,Christian Ziege Dietmar Hamann Steffen Freund Fredi Bobic Thomas Hitzlsperger Uwe Rösler Markus Babbel Robert Huth
16,fi Finland,7,10995,Sami Hyypiä Jussi Jääskeläinen Jonatan Johansson Jari Litmanen Mikael Forssell Peter Enckelman Simo Valakari
17,us United States,6,6383,Brad Friedel Claudio Reyna Joe-Max Moore Kasey Keller Ian Feuer Eddie Lewis
18,ng Nigeria,5,6000,Finidi George Ade Akinbiyi Celestine Babayaro Nwankwo Kanu Shola Ameobi
19,is Iceland,4,8332,Eiður Guðjohnsen Hermann Hreiðarsson Guðni Bergsson Arnar Gunnlaugsson
20,tr Türkiye,4,7360,Tugay Kerimoğlu Muzzy Izzet Alpay Özalan Hakan Ünsal
21,ma Morocco,4,4408,Mustapha Hadji Hassan Kachloul Tahar El Khalej Abdeslam Ouaddou
22,hr Croatia,4,3770,Alen Bokšić Mario Stanić Igor Bišćan Boško Balaban
23,cm Cameroon,4,3590,Lauren Patrick M'Boma Rigobert Song Joseph-Désiré Job
24,lv Latvia,4,3356,Marians Pahars Igors Stepanovs Andrejs Štolcers Imants Bleidelis
25,ch Switzerland,3,5837,Stéphane Henchoz Bernt Haas Patrick Foletti
26,cz Czech Republic,3,5226,Tomáš Řepka Vladimír Šmicer Patrik Berger
27,pt Portugal,3,5036,Jorge Costa Abel Xavier Luís Boa Morte
28,za South Africa,3,3601,Mark Fish Shaun Bartlett Quinton Fortune
29,tt Trinidad and Tobago,3,3160,Jlloyd Samuel Shaka Hislop Dwight Yorke
30,sk Slovakia,3,2456,Szilárd Németh Vladimír Labant Stanislav Varga
31,es Spain,3,969,Yordi Pablo Couñago Albert Ferrer
32,gr Greece,2,3078,Nikos Dabizas Kostas Konstantinidis
33,uy Uruguay,2,2869,Gus Poyet Diego Forlán
34,co Colombia,2,2696,Juan Pablo Ángel Hamilton Ricard
35,ua Ukraine,2,2302,Oleh Luzhny Serhiy Rebrov
36,br Brazil,2,1776,Emerson Thome Edu Gaspar
37,rs Serbia,2,1491,Slaviša Jokanović Goran Bunjevčević
38,bg Bulgaria,2,235,Svetoslav Todorov Radostin Kishishev
39,gi Gibraltar,1,3330,Danny Higginbotham
40,pe Peru,1,3158,Nolberto Solano
41,pl Poland,1,3115,Jerzy Dudek
42,ml Mali,1,2196,Frédéric Kanouté
43,ca Canada,1,2106,Tomasz Radzinski
44,ee Estonia,1,1472,Mart Poom
45,cg Congo,1,1469,Youl Mawéné
46,ge Georgia,1,1398,Georgi Kinkladze
47,cl Chile,1,978,Clarence Acuña
48,be Belgium,1,666,Branko Strupar
49,cd Congo DR,1,584,Lomana LuaLua
50,gy Guyana,1,446,Carl Cort
51,at Austria,1,360,Jürgen Macho
52,il Israel,1,192,Idan Tal
53,ec Ecuador,1,65,Agustín Delgado
54,ro Romania,1,55,Dan Petrescu
55,kn St. Kitts and Nevis,1,9,Calum Willock
56,gn Guinea,1,7,Titi Camara
57,sc Seychelles,1,6,Kevin Betsy
