Rk,Nation,# Players,Min,List
1,eng England,312,475290,Alan Shearer Robbie Fowler Les Ferdinand Teddy Sheringham Steve McManaman Chris Armstrong Stan Collymore Ian Woan Dion Dublin John Barnes ...
2,sct Scotland,34,40900,Gary McAllister John Spencer John McGinlay Colin Hendry Paul Telfer Scot Gemmill Colin Calderwood Derek Whyte Duncan Ferguson Steve Clarke ...
3,ie Republic of Ireland,30,41724,Andy Townsend Niall Quinn Gary Kelly Denis Irwin Jeff Kenna Kenny Cunningham Jason McAteer Roy Keane Keith Branagan Paul McGrath ...
4,wls Wales,20,35862,Ryan Giggs Mark Hughes Kit Symons Mark Crossley Neville Southall Vinnie Jones Gary Speed Mark Pembridge Barry Horne John Hartson ...
5,nir Northern Ireland,14,22626,Iain Dowie Steve Lomas Keith Gillespie Jim Magilton Michael Hughes Ian Nolan Alan McDonald Keith Rowland Nigel Worthington Gerry Taggart ...
6,nl Netherlands,11,16055,Dennis Bergkamp Ruud Gullit Bryan Roy Ken Monkou Fabian de Freitas Glenn Helder Richard Sneekes Regi Blinker Hans Segers Marco Boogers ...
7,no Norway,7,13572,Henning Berg Jan Åge Fjørtoft Øyvind Leonhardsen Lars Bohinen Erland Johnsen Alf-Inge Håland Stig Inge Bjørnebye
8,au Australia,6,6645,Mark Bosnich Robbie Slater John Filan Ned Zelić Stan Lazaridis Harry Kewell
9,jm Jamaica,5,8638,Robbie Earle Marcus Gayle Danny Maddix Frank Sinclair Jason Euell
10,dk Denmark,4,7731,Marc Rieper Peter Schmeichel John Jensen Ronnie Ekelund
11,rs Serbia,4,6920,Savo Milošević Saša Ćurčić Darko Kovačević Dejan Stefanović
12,se Sweden,4,3708,Anders Limpar Tomas Brolin Klas Ingesson Niklas Gudmundsson
13,de Germany,3,7251,Uwe Rösler Eike Immel Michael Frontzeck
14,fr France,3,5792,Eric Cantona David Ginola William Prunier
15,br Brazil,3,2913,Juninho Paulista Isaías Branco
16,xc Commonwealth of Independent States,2,5125,Andrei Kanchelskis Dmitri Kharine
17,tt Trinidad and Tobago,2,5084,Dwight Yorke Shaka Hislop
18,be Belgium,2,4485,Marc Degryse Philippe Albert
19,cz Czech Republic,2,4431,Luděk Mikloško Pavel Srníček
20,ng Nigeria,2,4090,Efan Ekoku Daniel Amokachi
21,us United States,2,3514,Juergen Sommer John Harkes
22,ge Georgia,2,3465,Georgi Kinkladze Mikheil Kavelashvili
23,ro Romania,2,3298,Dan Petrescu Ilie Dumitrescu
24,zw Zimbabwe,2,2580,Peter Ndlovu Bruce Grobbelaar
25,gh Ghana,2,2211,Tony Yeboah Nii Lamptey
26,za South Africa,2,1328,Lucas Radebe Phil Masinga
27,ch Switzerland,2,862,Marc Hottiger Giuseppe Mazzarelli
28,is Iceland,1,3015,Guðni Bergsson
29,ms Montserrat,1,2503,Ruel Fox
30,il Israel,1,2368,Ronny Rosenthal
31,hr Croatia,1,1149,Slaven Bilić
32,fi Finland,1,1044,Mixu Paatelainen
33,co Colombia,1,980,Faustino Asprilla
34,it Italy,1,429,Andrea Silenzi
35,pt Portugal,1,312,Dani
36,bo Bolivia,1,239,Jaime Moreno
37,bb Barbados,1,79,Gregory Goodridge
