Rk,Nation,# Players,Min,List
1,eng England,286,416543,Alan Shearer Ian Wright Robbie Fowler Les Ferdinand Emile Heskey David Beckham Steve McManaman Dion Dublin Neal Ardley Steve Claridge ...
2,ie Republic of Ireland,34,44311,Jason McAteer Andy Townsend Gary Kelly Jeff Kenna Kenny Cunningham Curtis Fleming Denis Irwin Steve Staunton Stephen Carr Paul McGrath ...
3,sct Scotland,31,48383,Gary McAllister Duncan Ferguson Kevin Gallacher Colin Hendry Christian Dailly Neil Sullivan Paul Telfer Colin Calderwood Steve Clarke Craig Burley ...
4,wls Wales,21,43149,Gary Speed Mark Pembridge Mark Hughes Ian Rush Dean Saunders Neville Southall Mark Crossley Andy Melville Ryan Giggs John Hartson ...
5,no Norway,16,30753,Stig Inge Bjørnebye Ole Gunnar Solskjær Egil Østenstad Henning Berg Alf-Inge Håland Øyvind Leonhardsen Claus Lundekvam Ronny Johnsen Steffen Iversen Lars Bohinen ...
6,nir Northern Ireland,16,20968,Ian Nolan Michael Hughes Neil Lennon Jim Magilton Keith Gillespie Iain Dowie Maik Taylor Keith Rowland Steve Lomas Steve Morrow ...
7,nl Netherlands,14,14226,Dennis Bergkamp Ulrich van Gobbel Regi Blinker Robin van der Laan Jordi Cruyff Orlando Trustfull Robert Molenaar Bryan Roy Pierre van Hooijdonk Ron Willems ...
8,fr France,9,13434,Eric Cantona Patrick Vieira Frank Leboeuf Lionel Pérez David Ginola Rémi Garde Pierre Laurent Nicolas Anelka Franck Rolling
9,dk Denmark,7,14564,Peter Schmeichel Allan Nielsen Jacob Laursen Mikkel Beck Marc Rieper Claus Thomsen Per Pedersen
10,it Italy,7,13206,Fabrizio Ravanelli Roberto Di Matteo Gianfranco Zola Gianluca Vialli Benito Carbone Gianluca Festa Andrea Silenzi
11,au Australia,7,5914,Robbie Slater Mark Bosnich Stan Lazaridis Mark Schwarzer Steve Mautone Harry Kewell John Filan
12,jm Jamaica,6,10653,Marcus Gayle Robbie Earle Darryl Powell Frank Sinclair Jason Euell Jamie Lawrence
13,se Sweden,5,992,Pontus Kåmark Anders Limpar Jan Eriksson Niklas Gudmundsson Marino Rahmberg
14,hr Croatia,4,9101,Aljoša Asanović Slaven Bilić Igor Štimac Nikola Jerkan
15,cz Czech Republic,4,7819,Luděk Mikloško Patrik Berger Pavel Srníček Karel Poborský
16,br Brazil,4,5936,Juninho Paulista Emerson Branco Isaías
17,rs Serbia,3,6345,Savo Milošević Dejan Stefanović Saša Ćurčić
18,pt Portugal,3,5013,Fernando Nélson Hugo Porfírio Paulo Futre
19,ro Romania,3,3887,Dan Petrescu Florin Răducioiu Ilie Dumitrescu
20,tt Trinidad and Tobago,2,4632,Dwight Yorke Shaka Hislop
21,il Israel,2,2837,Eyal Berkovic Ronny Rosenthal
22,be Belgium,2,2676,Philippe Albert Régis Genaux
23,xc Commonwealth of Independent States,2,2035,Andrei Kanchelskis Dmitri Kharine
24,ch Switzerland,2,1026,Ramon Vega Marc Hottiger
25,cr Costa Rica,2,260,Paulo Wanchope Mauricio Solís
26,tr Türkiye,1,2989,Muzzy Izzet
27,us United States,1,2790,Kasey Keller
28,za South Africa,1,2485,Lucas Radebe
29,pl Poland,1,2449,Dariusz Kubicki
30,ng Nigeria,1,2318,Efan Ekoku
31,ms Montserrat,1,1796,Ruel Fox
32,co Colombia,1,1477,Faustino Asprilla
33,zw Zimbabwe,1,1117,Peter Ndlovu
34,gr Greece,1,1030,Giorgos Donis
35,gh Ghana,1,515,Tony Yeboah
36,sk Slovakia,1,372,Vladimír Kinder
37,ee Estonia,1,360,Mart Poom
38,ca Canada,1,235,Craig Forrest
39,ua Ukraine,1,164,Oleksandr Yevtushok
40,sn Senegal,1,53,Ali Dia
41,gy Guyana,1,21,Carl Cort
