Rk,Nation,# Players,Min,List
1,eng England,350,608645,Alan Shearer Matt Le Tissier Robbie Fowler Les Ferdinand Teddy Sheringham Stan Collymore Chris Sutton Andy Cole Darren Anderton Steve McManaman ...
2,wls Wales,30,56468,Dean Saunders Ian Rush Gary Speed Mark Hughes Mark Crossley Iwan Roberts Geraint Williams David Phillips Neville Southall Ryan Giggs ...
3,sct Scotland,29,39923,Gary McAllister Colin Hendry Brian McClair John Spencer Colin Calderwood Don Hutchison John Wark Duncan Ferguson Steve Clarke David Rennie ...
4,ie Republic of Ireland,25,48455,Denis Irwin Steve Staunton Gary Kelly Jeff Kenna Paul McGrath Niall Quinn John Sheridan Phil Babb Andy Townsend Ray Houghton ...
5,nir Northern Ireland,15,27165,Jim Magilton Ian Nolan Alan McDonald Iain Dowie Nigel Worthington Colin Hill Keith Gillespie Steve Lomas Darren Patterson Michael Hughes ...
6,nl Netherlands,8,13823,Bryan Roy Ken Monkou Hans Segers Jeroen Boere Michel Vonk Glenn Helder Sieb Dijkstra Richard Witschge
7,no Norway,7,15117,Henning Berg Lars Bohinen Stig Inge Bjørnebye Erland Johnsen Øyvind Leonhardsen Alf-Inge Håland Erik Thorstvedt
8,dk Denmark,7,13551,Claus Thomsen Peter Schmeichel John Jensen Jakob Kjeldbjerg Marc Rieper Ronnie Ekelund Jan Mølby
9,jm Jamaica,6,9784,Frank Sinclair Danny Maddix Marcus Gayle Jamie Lawrence Fitzroy Simpson Robbie Earle
10,au Australia,5,4206,Mark Bosnich Robbie Slater John Filan Adem Poric Jason Kearton
11,de Germany,3,7616,Jürgen Klinsmann Uwe Rösler Maurizio Gaudino
12,se Sweden,3,5624,Stefan Schwarz Anders Limpar Klas Ingesson
13,ro Romania,3,4690,Gheorghe Popescu Dan Petrescu Ilie Dumitrescu
14,ng Nigeria,3,4483,Efan Ekoku Daniel Amokachi Ade Akinbiyi
15,cz Czech Republic,2,7087,Luděk Mikloško Pavel Srníček
16,ca Canada,2,6989,Frank Yallop Craig Forrest
17,zw Zimbabwe,2,5215,Peter Ndlovu Bruce Grobbelaar
18,xc Commonwealth of Independent States,2,5063,Andrei Kanchelskis Dmitri Kharine
19,us United States,2,3346,Roy Wegerle Cobi Jones
20,tt Trinidad and Tobago,2,3253,Dwight Yorke Ian Cox
21,za South Africa,2,1987,Phil Masinga Lucas Radebe
22,gh Ghana,2,1657,Tony Yeboah Nii Lamptey
23,ms Montserrat,1,3485,Ruel Fox
24,ch Switzerland,1,3373,Marc Hottiger
25,fr France,1,1824,Eric Cantona
26,be Belgium,1,1476,Philippe Albert
27,il Israel,1,1376,Ronny Rosenthal
28,uy Uruguay,1,1168,Adrián Paz
29,kn St. Kitts and Nevis,1,1126,Bobby Bowry
30,bg Bulgaria,1,1053,Boncho Genchev
31,nz New Zealand,1,154,Lee Norfolk
