Rk,Nation,# Players,Min,List
1,eng England,189,275487,Alan Shearer Kevin Davies James Beattie Frank Lampard Alan Smith Michael Owen Andy Cole Kevin Phillips Kevin Nolan Gareth Barry ...
2,fr France,44,65886,Thierry Henry Robert Pirès Steed Malbranque Louis Saha Nicolas Anelka Laurent Robert Sylvain Distin Olivier Bernard Bruno N'Gotty Patrick Vieira ...
3,ie Republic of Ireland,33,60809,Robbie Keane Matt Holland Paul Butler Shay Given Dean Kiely Gary Kelly Kenny Cunningham Mark Kennedy John O'Shea Stephen Carr ...
4,sct Scotland,28,32182,Paul Dickov Alex Rae Paul Telfer Dominic Matteo Gary Naysmith Colin Cameron Duncan Ferguson Paul Gallagher Kenny Miller Nigel Quashie ...
5,wls Wales,15,21226,Ryan Giggs Gary Speed Robbie Savage Ben Thatcher Paul Jones Mark Delaney Simon Davies Craig Bellamy Mark Pembridge Nathan Blake ...
6,nl Netherlands,13,23866,Ruud van Nistelrooy Jimmy Floyd Hasselbaink Arjan de Zeeuw Boudewijn Zenden Edwin van der Sar George Boateng Dennis Bergkamp Mario Melchiot Paul Bosvelt Collins John ...
7,de Germany,9,17988,Michael Tarnat Jens Lehmann Thomas Hitzlsperger Moritz Volz Markus Babbel Dietmar Hamann Steffen Freund Robert Huth Christian Ziege
8,au Australia,9,17459,Brett Emerton Harry Kewell Mark Viduka Mark Schwarzer Lucas Neill Stan Lazaridis Hayden Foxe Danny Tiatto Brad Jones
9,nir Northern Ireland,9,11778,Damien Johnson Aaron Hughes Maik Taylor Gerry Taggart Keith Gillespie Mark Clyde Roy Carroll Chris Baird Alan Blayney
10,se Sweden,8,12578,Freddie Ljungberg Olof Mellberg Michael Svensson Tobias Linderoth Anders Svensson Marcus Allbäck Nils-Eric Johansson Mathias Svensson
11,br Brazil,8,11471,Gilberto Silva Juninho Paulista Emerson Thome Edu Gaspar Doriva José Kléberson Roque Júnior Mário Jardel
12,no Norway,8,9696,Claus Lundekvam John Arne Riise Ronny Johnsen Steffen Iversen Martin Andresen Ole Gunnar Solskjær Eirik Bakke Jo Tessem
13,it Italy,8,9151,Paolo Di Canio Carlo Cudicini Massimo Maccarone Alessandro Pistone Lorenzo Amoruso Marco Ambrosio Dino Baggio Corrado Grabbi
14,jm Jamaica,8,6647,Jason Euell Ricardo Gardner Barry Hayles Frank Sinclair Kevin Lisbie Trevor Benjamin Jamal Campbell-Ryce Deon Burton
15,fi Finland,7,14708,Mikael Forssell Sami Hyypiä Jussi Jääskeläinen Antti Niemi Jonatan Johansson Petri Pasanen Peter Enckelman
16,dk Denmark,7,14009,Thomas Sørensen Claus Jensen Thomas Gravesen Henrik Pedersen Jesper Grønkjær Per Frandsen Kevin Stuhr Ellegaard
17,us United States,7,13143,Kasey Keller Brad Friedel Tim Howard Claudio Reyna Carlos Bocanegra Brian McBride Jovan Kirovski
18,ng Nigeria,7,11579,Yakubu Aiyegbeni Jay-Jay Okocha Joseph Yobo Shola Ameobi Celestine Babayaro Nwankwo Kanu Isaac Okoronkwo
19,pt Portugal,7,6053,Luís Boa Morte Cristiano Ronaldo Hélder Postiga Hugo Viana Silas Ricardo Vaz Tê Filipe Oliveira
20,sn Senegal,6,7774,Henri Camara Amdy Faye El Hadji Diouf Lamine Sakho Aliou Cissé Salif Diao
21,ar Argentina,6,4335,Mauricio Taricco Hernán Crespo Juan Sebastián Verón Facundo Sava Carlos Marinelli Luciano Figueroa
22,tt Trinidad and Tobago,5,8310,Jlloyd Samuel Shaka Hislop Dwight Yorke Stern John Justin Hoyte
23,cm Cameroon,5,7790,Lauren Joseph-Désiré Job Geremi Eric Djemba-Djemba Salomon Olembé
24,za South Africa,5,5636,Mark Fish Quinton Fortune Shaun Bartlett Lucas Radebe Mbulelo Mabizela
25,es Spain,4,6750,Iván Campo Gaizka Mendieta José Antonio Reyes Javi Moreno
26,hr Croatia,4,4237,Igor Bišćan Boris Živković Ivica Mornar Mario Stanić
27,cz Czech Republic,4,3769,Patrik Berger Vladimír Šmicer Milan Baroš Pavel Srníček
28,tr Türkiye,3,5875,Muzzy Izzet Tugay Kerimoğlu Alpay Özalan
29,is Iceland,3,4979,Hermann Hreiðarsson Eiður Guðjohnsen Joey Guðjónsson
30,ci Côte d'Ivoire,2,4737,Kolo Touré Olivier Tébily
31,sk Slovakia,2,3508,Szilárd Németh Vratislav Greško
32,gr Greece,2,3158,Stelios Giannakopoulos Nikos Dabizas
33,rs Serbia,2,3138,Dejan Stefanović Goran Bunjevčević
34,cn China PR,2,2960,Sun Jihai Li Tie
35,bg Bulgaria,2,2630,Radostin Kishishev Svetoslav Todorov
36,ml Mali,2,2411,Frédéric Kanouté Djimi Traoré
37,ro Romania,2,2398,Adrian Mutu Ionel Ganea
38,uy Uruguay,2,2030,Diego Forlán Gus Poyet
39,ec Ecuador,2,1893,Ulises de la Cruz Agustín Delgado
40,gy Guyana,2,1171,Carl Cort Neil Danns
41,gd Grenada,2,491,Jason Roberts Delroy Facey
42,be Belgium,2,461,Daniel Van Buyten Jonathan Blondel
43,ma Morocco,2,93,Hassan Kachloul Mustapha Hadji
44,co Colombia,1,2770,Juan Pablo Ángel
45,pl Poland,1,2687,Jerzy Dudek
46,ca Canada,1,2564,Tomasz Radzinski
47,gi Gibraltar,1,2286,Danny Higginbotham
48,ru Russia,1,2066,Alexey Smertin
49,pe Peru,1,1655,Nolberto Solano
50,gp Guadeloupe,1,1620,David Sommeil
51,ch Switzerland,1,1401,Stéphane Henchoz
52,jp Japan,1,1295,Junichi Inamoto
53,cr Costa Rica,1,1195,Paulo Wanchope
54,cd Congo DR,1,1165,Lomana LuaLua
55,il Israel,1,961,Eyal Berkovic
56,tg Togo,1,810,Yoann Folly
57,gh Ghana,1,644,Alex Nyarko
58,lv Latvia,1,584,Marians Pahars
59,ua Ukraine,1,392,Oleh Luzhny
60,cy Cyprus,1,91,Alexis Nicolas
61,pk Pakistan,1,1,Zesh Rehman
