Rk,Nation,# Players,Min,List
1,eng England,189,275835,Frank Lampard Steven Gerrard Kevin Davies Peter Crouch Gabby Agbonlahor Gareth Barry Ashley Young James Milner Danny Murphy Matthew Taylor ...
2,fr France,32,47779,Nicolas Anelka Steed Malbranque Sylvain Distin Djibril Cissé Samir Nasri Bacary Sagna Florent Malouda Gaël Clichy Charles N'Zogbia Jérémie Aliadière ...
3,ie Republic of Ireland,26,35687,Stephen Ireland Robbie Keane Rory Delap Shay Given Andy O'Brien Damien Duff Richard Dunne Keith Andrews Andy Reid John O'Shea ...
4,br Brazil,17,25024,Robinho Denílson Geovanni Heurelho Gomes Elano Afonso Alves Jô Fábio Aurélio Alex Lucas Leiva ...
5,es Spain,15,27615,Pepe Reina Mikel Arteta Fernando Torres Xabi Alonso Cesc Fàbregas Manuel Almunia Álvaro Arbeloa Borja Valero Albert Riera José Enrique ...
6,nl Netherlands,14,22273,Dirk Kuyt Robin van Persie André Ooijer Mario Melchiot Gianni Zuiverloon Edwin van der Sar George Boateng Nigel de Jong Ryan Babel Daniël de Ridder ...
7,wls Wales,14,20080,Simon Davies Danny Collins Sam Ricketts Boaz Myhill Craig Bellamy Ryan Giggs Jack Collison James Collins Gareth Bale Jason Koumas ...
8,pt Portugal,13,10977,Cristiano Ronaldo José Bosingwa Deco Luís Boa Morte Ricardo Carvalho Nani Ariza Makukula Filipe Teixeira Paulo Ferreira Ricardo Quaresma ...
9,ng Nigeria,12,14928,John Obi Mikel Obafemi Martins Joseph Yobo Dickson Etuhu Shola Ameobi Yakubu Aiyegbeni Seyi Olofinjana John Utaka Danny Shittu Victor Anichebe ...
10,sn Senegal,10,14312,Abdoulaye Faye El Hadji Diouf Habib Beye Salif Diao Amdy Faye Papa Bouba Diop Armand Traoré Diomansy Kamara Henri Camara Ibrahima Sonko
11,ar Argentina,9,14297,Fabricio Coloccini Pablo Zabaleta Carlos Tevez Jonás Gutiérrez Javier Mascherano Julio Arca Emiliano Insúa Juan Carlos Menseguez Franco Di Santo
12,au Australia,8,14978,Tim Cahill Mark Schwarzer Lucas Neill Brett Emerton Brad Jones Richard Garcia Vince Grella Mark Viduka
13,sct Scotland,8,10468,James Morrison Phil Bardsley Darren Fletcher Richard Hughes Craig Gordon Alan Hutton Graham Dorrans Craig Beattie
14,dk Denmark,8,9103,Thomas Sørensen Nicklas Bendtner Martin Laursen Daniel Agger Peter Løvenkrands Lars Jacobsen Kasper Schmeichel Leon Andreasen
15,ci Côte d'Ivoire,6,10319,Kolo Touré Salomon Kalou Didier Drogba Didier Zokora Emmanuel Eboué Abdoulaye Méïté
16,nir Northern Ireland,6,8985,Aaron Hughes Chris Brunt Jonny Evans George McCartney David Healy Chris Baird
17,tt Trinidad and Tobago,6,8342,Jlloyd Samuel Kenwyne Jones Justin Hoyte Carlos Edwards Dwight Yorke Gavin Hoyte
18,it Italy,6,3809,David Di Michele Andrea Dossena Carlo Cudicini Federico Macheda Vito Mannone Rodrigo Possebon
19,us United States,5,9902,Tim Howard Clint Dempsey Brad Friedel Jonathan Spector Brad Guzan
20,se Sweden,5,5473,Johan Elmander Jonas Olsson Martin Olsson Fredrik Stoor Erik Edman
21,no Norway,4,8140,Brede Hangeland Morten Gamst Pedersen John Carew Erik Nevland
22,jm Jamaica,4,8062,Ricardo Fuller Marlon King Ricardo Gardner Nyron Nosworthy
23,cm Cameroon,4,7909,Benoît Assou-Ekotto Sébastien Bassong Alex Song Geremi
24,bg Bulgaria,4,6299,Dimitar Berbatov Stiliyan Petrov Valeri Bojinov Martin Petrov
25,be Belgium,4,6122,Vincent Kompany Marouane Fellaini Carl Hoefkens Ritchie De Laet
26,fi Finland,4,6117,Jussi Jääskeläinen Teemu Tainio Sami Hyypiä Toni Kallio
27,gh Ghana,4,4423,John Paintsil Michael Essien Richard Kingson Kevin-Prince Boateng
28,ch Switzerland,4,3713,Valon Behrami Johan Djourou Gelson Fernandes Johann Vogel
29,cd Congo DR,4,3531,Hérita Ilunga Youssouf Mulumbu Arnold Mvuemba Kazenga LuaLua
30,kr Korea Republic,4,2739,Park Ji-sung Kim Do-heon Seol Ki-hyeon Cho Won-hee
31,sk Slovakia,4,2200,Martin Škrtel Marek Čech Miroslav Stoch Vladimír Weiss
32,hr Croatia,3,7551,Luka Modrić Vedran Ćorluka Niko Kranjčar
33,cz Czech Republic,3,5065,Petr Čech Roman Bednář Radoslav Kováč
34,is Iceland,3,4993,Grétar Steinsson Hermann Hreiðarsson Heiðar Helguson
35,za South Africa,3,4767,Steven Pienaar Benni McCarthy Aaron Mokoena
36,hu Hungary,3,4624,Márton Fülöp Zoltán Gera Péter Halmosi
37,de Germany,3,4580,Michael Ballack Robert Huth Dietmar Hamann
38,eg Egypt,3,4287,Amr Zaki Mido Mohamed Shawky
39,rs Serbia,3,4102,Nemanja Vidić Branislav Ivanović Zoran Tošić
40,ec Ecuador,3,3987,Antonio Valencia Felipe Caicedo Segundo Castillo
41,il Israel,3,3305,Yossi Benayoun Tal Ben Haim Tamir Cohen
42,pl Poland,3,1021,Łukasz Fabiański Tomasz Kuszczak Euzebiusz Smolarek
43,gr Greece,3,259,Angelos Basinas Stelios Giannakopoulos Theofanis Gekas
44,hn Honduras,2,6135,Maynor Figueroa Wilson Palacios
45,at Austria,2,4714,Paul Scharner Emanuel Pogatetz
46,tr Türkiye,2,4222,Tuncay Şanlı Tugay Kerimoğlu
47,nz New Zealand,2,3119,Ryan Nelsen Chris Wood
48,ru Russia,2,2441,Andrey Arshavin Roman Pavlyuchenko
49,mx Mexico,2,665,Carlos Vela Giovani dos Santos
50,ma Morocco,2,251,Nabil El Zhar Adel Taarabt
51,uy Uruguay,2,64,Nacho González Walter López
52,cg Congo,1,3046,Christopher Samba
53,si Slovenia,1,2990,Robert Koren
54,gn Guinea,1,2740,Kamil Zayatte
55,gi Gibraltar,1,2553,Danny Higginbotham
56,bb Barbados,1,2321,Emmerson Boyce
57,dz Algeria,1,1930,Nadir Belhadj
58,tg Togo,1,1876,Emmanuel Adebayor
59,gd Grenada,1,1728,Jason Roberts
60,ga Gabon,1,1580,Daniel Cousin
61,py Paraguay,1,1486,Roque Santa Cruz
62,ml Mali,1,1338,Mamady Sidibé
63,sr Suriname,1,1255,Ryan Donk
64,co Colombia,1,983,Hugo Rodallega
