Rk,Nation,# Players,Min,List
1,eng England,257,357766,Steve Guppy Michael Owen David Beckham Julian Joachim Dion Dublin Trevor Sinclair Andy Cole Frank Lampard Lee Bowyer Alan Shearer ...
2,sct Scotland,35,45249,Matt Elliott Don Hutchison David Hopkin Neil Sullivan Callum Davidson Gary McAllister Paul Telfer Dougie Freedman Scot Gemmill Duncan Ferguson ...
3,ie Republic of Ireland,30,45763,Ian Harte Mark Kinsella Stephen Carr Andy Townsend Kenny Cunningham Roy Keane Shay Given Lee Carsley Denis Irwin Steve Staunton ...
4,fr France,27,34391,Nicolas Anelka David Ginola Patrick Vieira Frank Leboeuf Emmanuel Petit Laurent Charvet Olivier Dacourt Marcel Desailly Thierry Bonalair Marc Keller ...
5,no Norway,21,35091,Petter Rudi Thomas Myhre Egil Østenstad Tore André Flo Steffen Iversen Lars Bohinen Claus Lundekvam Vegard Heggem Alf-Inge Håland Trond Egil Soltvedt ...
6,wls Wales,20,27762,Gary Speed John Hartson Mark Hughes Ben Thatcher Paul Jones Robbie Savage John Robinson Andy Johnson Ryan Giggs Nathan Blake ...
7,it Italy,17,19857,Gianfranco Zola Benito Carbone Roberto Di Matteo Gianluca Festa Paolo Di Canio Marco Materazzi Francesco Baiano Stefano Eranio Gianluca Vialli Pierluigi Casiraghi ...
8,nl Netherlands,15,27197,Jimmy Floyd Hasselbaink Dennis Bergkamp Marc Overmars Wim Jonk George Boateng Ed de Goey Jaap Stam Pierre van Hooijdonk Ken Monkou Robert Molenaar ...
9,nir Northern Ireland,11,15828,Neil Lennon Michael Hughes Steve Lomas Danny Sonner Keith Gillespie Damien Johnson Aaron Hughes Gerry Taggart Alan Fettis Jim Magilton ...
10,se Sweden,10,15129,Magnus Hedman Niclas Alexandersson Roland Nilsson Jesper Blomqvist Martin Pringle Pontus Kåmark Andreas Andersson Freddie Ljungberg Jesper Mattsson Martin Dahlin
11,jm Jamaica,8,15484,Marcus Gayle Robbie Earle Jason Euell Darryl Powell Frank Sinclair Deon Burton Paul Hall Kevin Lisbie
12,au Australia,8,12287,Harry Kewell Mark Schwarzer John Filan John Aloisi Mark Bosnich Stan Lazaridis Andy Petterson Chris Coyne
13,dk Denmark,7,12239,Jacob Laursen Peter Schmeichel Allan Nielsen Mikkel Beck Bjarne Goldbæk Brian Laudrup Peter Degn
14,de Germany,5,6797,Karl-Heinz Riedle Dietmar Hamann Stefan Schnoor Steffen Freund Sean Dundee
15,ar Argentina,5,5324,Horacio Carbonari Nelson Vivas Mauricio Taricco Juan Cobián Fabián Caballero
16,gr Greece,4,4463,Nikos Dabizas Theodoros Zagorakis Georgios Georgiadis Vassilios Borbokis
17,pt Portugal,4,1501,José Dominguez Bruno Ribeiro Hugo Porfírio Luís Boa Morte
18,us United States,3,4494,Kasey Keller Brad Friedel John Harkes
19,ng Nigeria,3,3917,Celestine Babayaro Efan Ekoku Nwankwo Kanu
20,hr Croatia,3,2189,Igor Štimac Silvio Marić Slaven Bilić
21,tt Trinidad and Tobago,2,6201,Dwight Yorke Shaka Hislop
22,cz Czech Republic,2,4721,Patrik Berger Pavel Srníček
23,ch Switzerland,2,4070,Stéphane Henchoz Ramon Vega
24,es Spain,2,2694,Albert Ferrer Alberto Méndez
25,cm Cameroon,2,2054,Marc-Vivien Foé Rigobert Song
26,at Austria,2,1735,Martin Hiden Alex Manninger
27,be Belgium,2,877,Philippe Clement Philippe Albert
28,br Brazil,1,3272,Emerson Thome
29,cr Costa Rica,1,3021,Paulo Wanchope
30,co Colombia,1,2701,Hamilton Ricard
31,tr Türkiye,1,2690,Muzzy Izzet
32,za South Africa,1,2537,Lucas Radebe
33,il Israel,1,2358,Eyal Berkovic
34,ro Romania,1,2160,Dan Petrescu
35,Serbia and Montenegro,1,1978,Saša Ilić
36,pe Peru,1,1968,Nolberto Solano
37,uy Uruguay,1,1903,Gus Poyet
38,ma Morocco,1,1643,Hassan Kachloul
39,ms Montserrat,1,1512,Ruel Fox
40,ci Côte d'Ivoire,1,1435,Ibrahima Bakayoko
41,ee Estonia,1,1401,Mart Poom
42,ge Georgia,1,1325,Temur Ketsbaia
43,rs Serbia,1,801,Dejan Stefanović
44,gy Guyana,1,652,Carl Cort
45,lr Liberia,1,417,Christopher Wreh
46,is Iceland,1,403,Arnar Gunnlaugsson
47,lv Latvia,1,358,Marians Pahars
48,fi Finland,1,349,Mikael Forssell
49,gn Guinea,1,313,Kaba Diawara
50,ba Bosnia and Herzegovina,1,286,Muhamed Konjić
51,cl Chile,1,270,Javier Margas
52,sk Slovakia,1,144,Vladimír Kinder
53,ca Canada,1,123,Craig Forrest
54,dz Algeria,1,104,Moussa Saïb
55,xc Commonwealth of Independent States,1,90,Dmitri Kharine
56,gh Ghana,1,41,Junior Agogo
