Rk,Nation,# Players,Min,List
1,eng England,367,630123,Andy Cole Chris Sutton Matt Le Tissier Alan Shearer Ian Wright Dean Holdsworth Peter Beardsley Brian Deane Mark Bright Les Ferdinand ...
2,sct Scotland,38,51053,Gary McAllister Graeme Sharp Bryan Gunn John Wark Gordon Strachan Steve Clarke David Rennie Paul Bernard Kevin Gallacher Steve Nicol ...
3,ie Republic of Ireland,28,54989,Denis Irwin Gary Kelly Jeff Kenna Roy Keane Phil Babb Mike Milligan Andy Townsend Terry Phelan Paul McGrath Ray Houghton ...
4,wls Wales,27,53199,Ian Rush Mark Hughes Ryan Giggs Mark Bowen Dean Saunders Gary Speed Jeremy Goss Neville Southall Paul Bodin Vinnie Jones ...
5,nir Northern Ireland,12,19794,Iain Dowie Kevin Horlock Nigel Worthington Lawrie Sanchez Mal Donaghy Keith Rowland Steve Lomas Jim Magilton Alan McDonald Steve Morrow ...
6,no Norway,11,19391,Jostein Flo Henning Berg Jan Åge Fjørtoft Erik Thorstvedt Erland Johnsen Gunnar Halle Roger Nilsen Stig Inge Bjørnebye Tore Pedersen Kåre Ingebrigtsen ...
7,nl Netherlands,6,13155,Hans Segers Ken Monkou Michel Vonk Luc Nijholt Alfons Groenendijk Jeroen Boere
8,dk Denmark,5,9503,Peter Schmeichel Jakob Kjeldbjerg John Jensen Jan Mølby Torben Piechnik
9,jm Jamaica,4,8892,Robbie Earle Frank Sinclair Fitzroy Simpson Marcus Gayle
10,se Sweden,4,5548,Roland Nilsson Anders Limpar Jonas Wirmola Patrik Andersson
11,de Germany,4,2001,Uwe Rösler Stefan Beinlich Steffen Karl Matthias Breitkreutz
12,cz Czech Republic,3,7984,Luděk Mikloško Jan Stejskal Pavel Srníček
13,pl Poland,3,502,Robert Warzycha Detsi Kruszyński Dariusz Kubicki
14,zw Zimbabwe,2,6176,Peter Ndlovu Bruce Grobbelaar
15,xc Commonwealth of Independent States,2,5962,Dmitri Kharine Andrei Kanchelskis
16,au Australia,2,2825,Mark Bosnich Adem Poric
17,us United States,2,2805,Roy Wegerle Preki
18,ca Canada,2,2702,Craig Forrest Frank Yallop
19,ng Nigeria,2,1974,Efan Ekoku Ade Akinbiyi
20,ms Montserrat,1,3541,Ruel Fox
21,fr France,1,2987,Eric Cantona
22,il Israel,1,1108,Ronny Rosenthal
23,bg Bulgaria,1,991,Boncho Genchev
24,cy Cyprus,1,524,Nikki Papavasiliou
25,tt Trinidad and Tobago,1,427,Dwight Yorke
